run_id,npz_name,source_kind,source_path,source_member,experiment,status,run_kind,timestamp_utc,sample_rate_hz_requested,sample_rate_hz_actual,sample_rate_error_hz,signal_frequency_hz,signal_frequency_measured_hz,fir_mode,power_tier_dbm,nblocks_requested,stale_blocks_dropped,nblocks_saved,nsamples,device_index,direct,gain_db,adc_mean_block_rms,adc_max,adc_min,adc_is_clipped,adc_passes_guard,guard_attempts,array_nblocks,array_nsamples
e1_sr1000000_f1043478_idx11_fir_alias_hack__pm30p0,e1_sr1000000_f1043478_idx11_fir_alias_hack__pm30p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1043478_idx11_fir_alias_hack__pm30p0.npz,E1,captured,power_tier_capture,2026-02-09T03:23:11.783324+00:00,1000000.0,1000000.026490954,0.02649095398373902,1043478.2608695652,1043478.2608695652,alias_hack,-30.0,6,1,5,2048,0,True,0.0,15.312372996457762,7,-32,False,True,1,5,2048
e1_sr1000000_f1043478_idx11_fir_alias_hack__pm40p0,e1_sr1000000_f1043478_idx11_fir_alias_hack__pm40p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1043478_idx11_fir_alias_hack__pm40p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:23:09.736481+00:00,1000000.0,1000000.026490954,0.02649095398373902,1043478.2608695652,1043478.2608695652,alias_hack,-40.0,6,1,5,2048,0,True,0.0,1.0820856000759826,2,-2,False,False,3,5,2048
e1_sr1000000_f1043478_idx11_fir_alias_hack__pm50p0,e1_sr1000000_f1043478_idx11_fir_alias_hack__pm50p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1043478_idx11_fir_alias_hack__pm50p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:23:05.682822+00:00,1000000.0,1000000.026490954,0.02649095398373902,1043478.2608695652,1043478.2608695652,alias_hack,-50.0,6,1,5,2048,0,True,0.0,0.5901106798250775,1,-2,False,False,3,5,2048
e1_sr1000000_f1043478_idx11_fir_default__pm10p0,e1_sr1000000_f1043478_idx11_fir_default__pm10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1043478_idx11_fir_default__pm10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:19:51.477160+00:00,1000000.0,1000000.026490954,0.02649095398373902,1043478.2608695652,1043478.2608695652,default,-10.0,6,1,5,2048,0,True,0.0,12.967537571570926,26,-7,False,True,1,5,2048
e1_sr1000000_f1043478_idx11_fir_default__pp0p0,e1_sr1000000_f1043478_idx11_fir_default__pp0p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1043478_idx11_fir_default__pp0p0.npz,E1,captured,power_tier_capture,2026-02-09T03:19:53.405534+00:00,1000000.0,1000000.026490954,0.02649095398373902,1043478.2608695652,1043478.2608695652,default,0.0,6,1,5,2048,0,True,0.0,63.10491504623288,85,46,False,True,1,5,2048
e1_sr1000000_f1043478_idx11_fir_default__pp10p0,e1_sr1000000_f1043478_idx11_fir_default__pp10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1043478_idx11_fir_default__pp10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:19:55.339791+00:00,1000000.0,1000000.026490954,0.02649095398373902,1043478.2608695652,1043478.2608695652,default,10.0,6,1,5,2048,0,True,0.0,49.63898363117393,72,29,False,True,1,5,2048
e1_sr1000000_f1130435_idx12_fir_alias_hack__pm30p0,e1_sr1000000_f1130435_idx12_fir_alias_hack__pm30p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1130435_idx12_fir_alias_hack__pm30p0.npz,E1,captured,power_tier_capture,2026-02-09T03:23:22.952470+00:00,1000000.0,1000000.026490954,0.02649095398373902,1130434.7826086956,1130434.7826086956,alias_hack,-30.0,6,1,5,2048,0,True,0.0,12.66323275547133,-1,-21,False,True,1,5,2048
e1_sr1000000_f1130435_idx12_fir_alias_hack__pm40p0,e1_sr1000000_f1130435_idx12_fir_alias_hack__pm40p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1130435_idx12_fir_alias_hack__pm40p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:23:20.905882+00:00,1000000.0,1000000.026490954,0.02649095398373902,1130434.7826086956,1130434.7826086956,alias_hack,-40.0,6,1,5,2048,0,True,0.0,0.7851564120365195,1,-2,False,False,3,5,2048
e1_sr1000000_f1130435_idx12_fir_alias_hack__pm50p0,e1_sr1000000_f1130435_idx12_fir_alias_hack__pm50p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1130435_idx12_fir_alias_hack__pm50p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:23:16.844207+00:00,1000000.0,1000000.026490954,0.02649095398373902,1130434.7826086956,1130434.7826086956,alias_hack,-50.0,6,1,5,2048,0,True,0.0,0.6004945400005764,0,-2,False,False,3,5,2048
e1_sr1000000_f1130435_idx12_fir_default__pm10p0,e1_sr1000000_f1130435_idx12_fir_default__pm10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1130435_idx12_fir_default__pm10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:19:58.257956+00:00,1000000.0,1000000.026490954,0.02649095398373902,1130434.7826086956,1130434.7826086956,default,-10.0,6,1,5,2048,0,True,0.0,12.33779697320378,21,-1,False,True,1,5,2048
e1_sr1000000_f1130435_idx12_fir_default__pp0p0,e1_sr1000000_f1130435_idx12_fir_default__pp0p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1130435_idx12_fir_default__pp0p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:00.178642+00:00,1000000.0,1000000.026490954,0.02649095398373902,1130434.7826086956,1130434.7826086956,default,0.0,6,1,5,2048,0,True,0.0,62.696436667677176,80,47,False,True,1,5,2048
