frequency_hz,amplitude_v,reference_amplitude_v,gain_linear,gain_db,mode,run_id,curve_label,fir_mode,sample_rate_hz_nominal,power_tier_dbm,status,qc_analysis_pass,qc_recommended_pass,selection_preferred_power_dbm,selection_used_preferred_mode_power,source_kind,source_path,source_member,frequency_normalized_to_nyquist,frequency_normalized_to_fs
10000.0,1.980180843456835,116.34340907277237,0.01702013770473443,-35.38073860986485,default@1.0MHz,e2_sr1000000_f10000_idx00_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f10000_idx00_fir_default__pm30p0.npz,0.019999999480000013,0.009999999740000006
11141.913841958418,2.2213451332666896,116.34340907277237,0.01909300364301038,-34.38251489155809,default@1.0MHz,e2_sr1000000_f11142_idx01_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f11142_idx01_fir_default__pm30p0.npz,0.022283827104537333,0.011141913552268666
12414.224406162486,2.7459161971939468,116.34340907277237,0.02360181998342842,-32.5410901284925,default@1.0MHz,e2_sr1000000_f12414_idx02_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f12414_idx02_fir_default__pm30p0.npz,0.02482844816678532,0.01241422408339266
13831.821874819982,3.3224442813400636,116.34340907277237,0.028557219595154608,-30.88568157745737,default@1.0MHz,e2_sr1000000_f13832_idx03_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f13832_idx03_fir_default__pm30p0.npz,0.027663643030385245,0.013831821515192622
15411.296760656,4.091408428597922,116.34340907277237,0.03516665414229663,-29.077378995140307,default@1.0MHz,e2_sr1000000_f15411_idx04_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f15411_idx04_fir_default__pm30p0.npz,0.03082259271992459,0.015411296359962296
17171.134070008236,5.165131253651898,116.34340907277237,0.044395563915624374,-27.053208464020848,default@1.0MHz,e2_sr1000000_f17171_idx05_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f17171_idx05_fir_default__pm30p0.npz,0.034342267247117524,0.017171133623558762
19131.929637674857,6.3111890180034536,116.34340907277237,0.054246210148920664,-25.31261195840139,default@1.0MHz,e2_sr1000000_f19132_idx06_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f19132_idx06_fir_default__pm30p0.npz,0.0382638582804894,0.0191319291402447
21316.6311653384,8.00840215537001,116.34340907277237,0.0688341713483811,-23.243918228366958,default@1.0MHz,e2_sr1000000_f21317_idx07_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f21317_idx07_fir_default__pm30p0.npz,0.04263326122221201,0.021316630611106006
23750.80678450066,10.016888604968539,116.34340907277237,0.08609760264720293,-21.300178822630997,default@1.0MHz,e2_sr1000000_f23751_idx08_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f23751_idx08_fir_default__pm30p0.npz,0.0475016123339594,0.0237508061669797
26462.94428699078,12.468143304687924,116.34340907277237,0.10716673513399583,-19.398799999893175,default@1.0MHz,e2_sr1000000_f26463_idx09_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f26463_idx09_fir_default__pm30p0.npz,0.05292588719790849,0.026462943598954246
