run_id,experiment,sample_rate_hz,center_frequency_hz,tones_hz,source_power_dbm,mixer_config,cable_config,n_samples,run_kind,status,n_blocks_saved,sample_rate_hz_requested,sample_rate_hz_actual,sample_rate_error_hz,qc_analysis_pass,qc_recommended_pass
e1_sr1000000_f1043478_idx11_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[1043478.2608695652],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1043478_idx11_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[1043478.2608695652],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1043478_idx11_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[1043478.2608695652],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1043478_idx11_fir_default__pm10p0,E1,1000000.026490954,0.0,[1043478.2608695652],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1043478_idx11_fir_default__pp0p0,E1,1000000.026490954,0.0,[1043478.2608695652],0.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1043478_idx11_fir_default__pp10p0,E1,1000000.026490954,0.0,[1043478.2608695652],10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1130435_idx12_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[1130434.7826086956],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1130435_idx12_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[1130434.7826086956],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1130435_idx12_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[1130434.7826086956],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1130435_idx12_fir_default__pm10p0,E1,1000000.026490954,0.0,[1130434.7826086956],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1130435_idx12_fir_default__pp0p0,E1,1000000.026490954,0.0,[1130434.7826086956],0.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1130435_idx12_fir_default__pp10p0,E1,1000000.026490954,0.0,[1130434.7826086956],10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1217391_idx13_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[1217391.3043478262],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1217391_idx13_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[1217391.3043478262],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1217391_idx13_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[1217391.3043478262],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1217391_idx13_fir_default__pm10p0,E1,1000000.026490954,0.0,[1217391.3043478262],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1217391_idx13_fir_default__pp0p0,E1,1000000.026490954,0.0,[1217391.3043478262],0.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
