run_id,f_true_hz,sample_rate_hz,predicted_alias_hz,measured_alias_hz,residual_hz,abs_residual_hz,uncertainty_hz,fir_mode,power_tier_dbm,status,adc_passes_guard,adc_is_clipped,qc_analysis_pass,qc_recommended_pass
e1_sr1000000_f1043478_idx11_fir_alias_hack__pm30p0,1043478.2608695652,1000000.026490954,43478.23437861132,43457.03240121822,-21.201977393102425,21.201977393102425,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f1043478_idx11_fir_alias_hack__pm40p0,1043478.2608695652,1000000.026490954,43478.23437861132,43457.03240121822,-21.201977393102425,21.201977393102425,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1043478_idx11_fir_alias_hack__pm50p0,1043478.2608695652,1000000.026490954,43478.23437861132,43457.03240121822,-21.201977393102425,21.201977393102425,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1043478_idx11_fir_default__pm10p0,1043478.2608695652,1000000.026490954,43478.23437861132,43457.03240121822,-21.201977393102425,21.201977393102425,0.0,default,-10.0,captured,True,False,True,True
e1_sr1000000_f1043478_idx11_fir_default__pp0p0,1043478.2608695652,1000000.026490954,43478.23437861132,43457.03240121822,-21.201977393102425,21.201977393102425,0.0,default,0.0,captured,True,False,True,True
e1_sr1000000_f1043478_idx11_fir_default__pp10p0,1043478.2608695652,1000000.026490954,43478.23437861132,43457.03240121822,-21.201977393102425,21.201977393102425,0.0,default,10.0,captured,True,False,True,True
e1_sr1000000_f1130435_idx12_fir_alias_hack__pm30p0,1130434.7826086956,1000000.026490954,130434.7561177417,130371.09720365466,-63.658914087034645,63.658914087034645,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f1130435_idx12_fir_alias_hack__pm40p0,1130434.7826086956,1000000.026490954,130434.7561177417,130371.09720365466,-63.658914087034645,63.658914087034645,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1130435_idx12_fir_alias_hack__pm50p0,1130434.7826086956,1000000.026490954,130434.7561177417,130371.09720365466,-63.658914087034645,63.658914087034645,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1130435_idx12_fir_default__pm10p0,1130434.7826086956,1000000.026490954,130434.7561177417,130371.09720365466,-63.658914087034645,63.658914087034645,0.0,default,-10.0,captured,True,False,True,True
