run_id,npz_name,source_kind,source_path,source_member,experiment,status,run_kind,timestamp_utc,sample_rate_hz_requested,sample_rate_hz_actual,sample_rate_error_hz,signal_frequency_hz,signal_frequency_measured_hz,fir_mode,power_tier_dbm,nblocks_requested,stale_blocks_dropped,nblocks_saved,nsamples,device_index,direct,gain_db,adc_mean_block_rms,adc_max,adc_min,adc_is_clipped,adc_passes_guard,guard_attempts,array_nblocks,array_nsamples,qc_has_required_metadata,qc_has_adc_shape,qc_nblocks_policy_ok,qc_status_ok,qc_analysis_pass,qc_recommended_pass,qc_reason
e2_sr1000000_f10000_idx00_fir_default__pm10p0,e2_sr1000000_f10000_idx00_fir_default__pm10p0.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e2.tar.gz,e2/e2_sr1000000_f10000_idx00_fir_default__pm10p0.npz,E2,captured_guard_fail,bandpass_sweep_capture,2026-02-09T04:03:37.664969+00:00,1000000.0,1000000.026490954,0.02649095398373902,10000.0,10000.0,default,-10.0,6,1,5,2048,0,True,0.0,43.8207158382718,127,-128,True,False,3,5,2048,True,True,True,True,True,False,guard_fail;clipped
e2_sr1000000_f10000_idx00_fir_default__pm30p0,e2_sr1000000_f10000_idx00_fir_default__pm30p0.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e2.tar.gz,e2/e2_sr1000000_f10000_idx00_fir_default__pm30p0.npz,E2,captured_guard_fail,bandpass_sweep_capture,2026-02-09T04:09:10.174385+00:00,1000000.0,1000000.026490954,0.02649095398373902,10000.0,10000.0,default,-30.0,6,1,5,2048,0,True,0.0,1.980180843456835,5,-7,False,False,3,5,2048,True,True,True,True,True,False,guard_fail
e2_sr1000000_f1045373_idx43_fir_default__pm30p0,e2_sr1000000_f1045373_idx43_fir_default__pm30p0.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e2.tar.gz,e2/e2_sr1000000_f1045373_idx43_fir_default__pm30p0.npz,E2,captured,bandpass_sweep_capture,2026-02-09T04:12:02.390667+00:00,1000000.0,1000000.026490954,0.02649095398373902,1045372.8598612307,1045372.8598612307,default,-30.0,6,1,5,2048,0,True,0.0,12.516953871115337,-6,-23,False,True,1,5,2048,True,True,True,True,True,True,ok
e2_sr1000000_f107923_idx22_fir_default__pm10p0,e2_sr1000000_f107923_idx22_fir_default__pm10p0.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e2.tar.gz,e2/e2_sr1000000_f107923_idx22_fir_default__pm10p0.npz,E2,captured_guard_fail,bandpass_sweep_capture,2026-02-09T04:08:01.054336+00:00,1000000.0,1000000.026490954,0.02649095398373902,107923.3725255819,107923.3725255819,default,-10.0,6,1,5,2048,0,True,0.0,122.29500428214578,127,-128,True,False,3,5,2048,True,True,True,True,True,False,guard_fail;clipped
e2_sr1000000_f107923_idx22_fir_default__pm30p0,e2_sr1000000_f107923_idx22_fir_default__pm30p0.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e2.tar.gz,e2/e2_sr1000000_f107923_idx22_fir_default__pm30p0.npz,E2,captured_guard_fail,bandpass_sweep_capture,2026-02-09T04:10:35.944020+00:00,1000000.0,1000000.026490954,0.02649095398373902,107923.3725255819,107923.3725255819,default,-30.0,6,1,5,2048,0,True,0.0,106.88387269824486,127,-128,True,False,3,5,2048,True,True,True,True,True,False,guard_fail;clipped
e2_sr1000000_f11142_idx01_fir_default__pm10p0,e2_sr1000000_f11142_idx01_fir_default__pm10p0.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e2.tar.gz,e2/e2_sr1000000_f11142_idx01_fir_default__pm10p0.npz,E2,captured_guard_fail,bandpass_sweep_capture,2026-02-09T04:03:42.372386+00:00,1000000.0,1000000.026490954,0.02649095398373902,11141.913841958418,11141.913841958418,default,-10.0,6,1,5,2048,0,True,0.0,44.372088750823394,127,-128,True,False,3,5,2048,True,True,True,True,True,False,guard_fail;clipped
e2_sr1000000_f11142_idx01_fir_default__pm30p0,e2_sr1000000_f11142_idx01_fir_default__pm30p0.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e2.tar.gz,e2/e2_sr1000000_f11142_idx01_fir_default__pm30p0.npz,E2,captured_guard_fail,bandpass_sweep_capture,2026-02-09T04:09:14.884064+00:00,1000000.0,1000000.026490954,0.02649095398373902,11141.913841958418,11141.913841958418,default,-30.0,6,1,5,2048,0,True,0.0,2.2213451332666896,6,-8,False,False,3,5,2048,True,True,True,True,True,False,guard_fail
e2_sr1000000_f1164745_idx44_fir_default__pm30p0,e2_sr1000000_f1164745_idx44_fir_default__pm30p0.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e2.tar.gz,e2/e2_sr1000000_f1164745_idx44_fir_default__pm30p0.npz,E2,captured,bandpass_sweep_capture,2026-02-09T04:12:05.311720+00:00,1000000.0,1000000.026490954,0.02649095398373902,1164745.4337295503,1164745.4337295503,default,-30.0,6,1,5,2048,0,True,0.0,12.216294893803196,-2,-18,False,True,1,5,2048,True,True,True,True,True,True,ok
e2_sr1000000_f120247_idx23_fir_default__pm10p0,e2_sr1000000_f120247_idx23_fir_default__pm10p0.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e2.tar.gz,e2/e2_sr1000000_f120247_idx23_fir_default__pm10p0.npz,E2,captured_guard_fail,bandpass_sweep_capture,2026-02-09T04:08:05.762588+00:00,1000000.0,1000000.026490954,0.02649095398373902,120247.29182136159,120247.29182136159,default,-10.0,6,1,5,2048,0,True,0.0,122.25471078106314,127,-128,True,False,3,5,2048,True,True,True,True,True,False,guard_fail;clipped
e2_sr1000000_f120247_idx23_fir_default__pm30p0,e2_sr1000000_f120247_idx23_fir_default__pm30p0.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e2.tar.gz,e2/e2_sr1000000_f120247_idx23_fir_default__pm30p0.npz,E2,captured_guard_fail,bandpass_sweep_capture,2026-02-09T04:10:40.660026+00:00,1000000.0,1000000.026490954,0.02649095398373902,120247.29182136159,120247.29182136159,default,-30.0,6,1,5,2048,0,True,0.0,109.29048916792495,127,-128,True,False,3,5,2048,True,True,True,True,True,False,guard_fail;clipped
